Date,Username,Role,Txn_amount,Approver
13/02/2016,ouqd32,supervisor,4220,noep88
01/03/2016,njso24,supervisor,5120,vhcj84
07/03/2016,ouqd32,supervisor,6215,qili19
27/03/2016,oils61,supervisor,4985,qili19
17/04/2016,ouqd32,supervisor,3290,nsoz88
21/05/2016,ouqd32,supervisor,6220,qili19
21/05/2016,njso24,supervisor,4890,qili19
06/06/2016,njso24,supervisor,3070,qebl39
07/07/2016,ouqd32,supervisor,4865,fxyj92
14/07/2016,njso24,supervisor,4485,xcut84
18/07/2016,oils61,supervisor,6340,vhcj84
14/08/2016,ouqd32,supervisor,6205,fxyj92
25/08/2016,ouqd32,supervisor,6280,noep88
26/08/2016,oils61,supervisor,4060,qebl39
27/08/2016,oils61,supervisor,4205,noep88
14/09/2016,ouqd32,supervisor,4890,qebl39
15/09/2016,njso24,supervisor,4230,noep88
23/09/2016,njso24,supervisor,5945,fxyj92
22/10/2016,njso24,supervisor,6690,noep88
12/11/2016,njso24,supervisor,6320,eyor39
07/12/2016,ouqd32,supervisor,3395,qebl39
15/12/2016,oils61,supervisor,4370,vhcj84
16/12/2016,ouqd32,supervisor,4980,fxyj92
14/01/2017,ouqd32,supervisor,3060,qebl39
23/01/2017,oils61,supervisor,6360,qili19
28/01/2017,oils61,supervisor,4540,eyor39
18/02/2017,nxlq70,supervisor,6625,qili19
02/03/2017,njso24,supervisor,3475,vhcj84
07/04/2017,oils61,supervisor,6250,eyor39
15/04/2017,vgqj46,staff2,615,None
16/04/2017,oils61,supervisor,6400,noep88
15/05/2017,njso24,supervisor,6270,fxyj92
03/07/2017,vgqj46,staff2,525,None
04/07/2017,njso24,supervisor,6145,noep88
07/07/2017,ouqd32,supervisor,4170,noep88
09/07/2017,njso24,supervisor,6060,nsoz88
10/07/2017,nxlq70,supervisor,5405,qebl39
12/07/2017,nxlq70,supervisor,6730,vhcj84
28/07/2017,nxlq70,supervisor,4315,nsoz88
08/08/2017,oils61,supervisor,3030,nsoz88
11/08/2017,ouqd32,supervisor,3515,nsoz88
12/08/2017,ouqd32,supervisor,4275,qili19
27/08/2017,oils61,supervisor,6285,xcut84
01/09/2017,ouqd32,supervisor,6655,qili19
08/10/2017,ouqd32,supervisor,4590,vhcj84
10/10/2017,vgqj46,staff2,130,None
23/10/2017,oils61,supervisor,3765,noep88
03/11/2017,ouqd32,supervisor,4445,xcut84
10/11/2017,nxlq70,supervisor,3745,qili19
01/12/2017,ouqd32,supervisor,4125,fxyj92
05/12/2017,ouqd32,supervisor,6445,vhcj84
15/12/2017,oils61,supervisor,5605,vhcj84
25/12/2017,oils61,supervisor,6970,qili19
28/12/2017,ngny24,staff1,235,None
